,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,reply_to_count,replying_count
130945778,mollyesque,"Ball, Molly",The Atlantic,Staff Writer,F,116857,2932,35617,Thu Apr 08 20:30:19 +0000 2010,True,False,108.0,29.0,196.0,102.0,435.0,34,7
159655293,TalKopan,"Kopan, Tal",CNN,Political Reporter,F,10995,1239,21597,Sat Jun 26 00:20:40 +0000 2010,True,False,289.0,151.0,197.0,105.0,742.0,33,10
17881467,rebeccagberg,"Berg, Rebecca",RealClearPolitics,National Political Reporter,F,48798,1508,29831,Thu Dec 04 22:21:08 +0000 2008,True,False,99.0,118.0,78.0,356.0,651.0,33,3
104914594,Phil_Mattingly,"Mattingly, Phil",CNN,Congressional Correspondent,M,40119,1565,37122,Thu Jan 14 19:59:21 +0000 2010,True,False,686.0,242.0,165.0,698.0,1791.0,32,22
19734832,sarahkliff,"Kliff, Sarah L.",Vox Media,Senior Policy Correspondent,F,100090,1154,18144,Thu Jan 29 21:14:18 +0000 2009,True,False,315.0,92.0,129.0,126.0,662.0,32,7
15837659,jbendery,"Bendery, Jennifer",Huffington Post,Politics Reporter,M,41000,346,65406,Wed Aug 13 15:05:39 +0000 2008,True,False,649.0,381.0,844.0,726.0,2600.0,31,17
22508206,Timothy_Cama,"Cama, Timothy",The Hill,Energy & Environment Reporter,M,5016,797,11856,Mon Mar 02 17:28:32 +0000 2009,True,False,462.0,247.0,101.0,45.0,855.0,31,11
269579030,DoreyScheimer,"Scheimer, Dorey",Cox Broadcasting,Washington Producer,F,2639,1197,13591,Mon Mar 21 02:09:25 +0000 2011,True,False,204.0,123.0,106.0,155.0,588.0,31,5
409743965,PGunigantiAT,"Guniganti, Pallavi",Global Competition Review,Reporter,F,337,171,3976,Fri Nov 11 04:58:27 +0000 2011,False,False,50.0,35.0,86.0,19.0,190.0,31,1
366602165,levinecarrie,"Levine, Carrie",Center for Public Integrity,Money in Politics Reporter,F,4425,1188,8983,Fri Sep 02 13:39:16 +0000 2011,True,False,139.0,98.0,108.0,635.0,980.0,30,3
426396509,LA_Hagen,"Hagen, Lisa",The Hill,Political Reporter,F,1024,1320,1841,Fri Dec 02 05:48:42 +0000 2011,False,False,88.0,9.0,34.0,26.0,157.0,30,1
171565750,rachel_roubein,"Roubein, Rachel",The Hill,"Senior Healthcare Reporter, The Hill Extra",F,986,777,1768,Tue Jul 27 17:05:14 +0000 2010,False,False,124.0,15.0,42.0,44.0,225.0,30,1
16125224,ByronTau,"Tau, Byron",Wall Street Journal / Dow Jones,Congress & Politics Reporter,M,39175,2605,57599,Thu Sep 04 04:34:23 +0000 2008,True,False,187.0,80.0,201.0,140.0,608.0,29,18
217550862,BresPolitico,"Bresnahan, John",Politico,Capitol Bureau Chief,M,40562,1910,48870,Fri Nov 19 21:01:30 +0000 2010,False,False,375.0,309.0,84.0,1739.0,2507.0,29,14
11771512,OKnox,"Knox, Olivier",Yahoo News,Chief Washington Correspondent,M,44715,2339,95036,Wed Jan 02 20:58:16 +0000 2008,True,False,334.0,547.0,643.0,424.0,1948.0,29,10
118245138,woodruffbets,"Woodruff, Betsy",Daily Beast,Politics Reporter,F,55976,4655,23685,Sun Feb 28 02:02:40 +0000 2010,True,False,338.0,19.0,162.0,257.0,776.0,29,8
146585071,nora_kelly,"Kelly, Nora E.",The Atlantic,Politics Editor & Writer,F,3730,1584,11501,Fri May 21 20:35:47 +0000 2010,True,False,139.0,134.0,113.0,285.0,671.0,29,8
61267358,TracyJan,"Jan, Tracy",Washington Post,Race & Economy Reporter,F,5423,2263,7458,Wed Jul 29 18:56:31 +0000 2009,True,False,216.0,58.0,55.0,96.0,425.0,29,2
240879503,BBCRajiniV,"Vaidyanathan, Rajini",BBC,Anchor & Correspondent,F,14146,3961,13197,Thu Jan 20 23:32:42 +0000 2011,True,False,388.0,149.0,92.0,174.0,803.0,28,3
2375574151,KatieBoWill,"Williams, Katherine B.",The Hill,National Security Reporter,F,5338,621,6858,Thu Mar 06 16:00:08 +0000 2014,True,False,297.0,191.0,71.0,188.0,747.0,28,2
240135871,emilyhholden,"Holden, Emily H.",E&E News,"Reporter, Climatewire",F,5200,2891,5805,Wed Jan 19 06:59:18 +0000 2011,True,False,220.0,61.0,175.0,139.0,595.0,27,7
18482836,kristina_wong,"Wong, Kristina",Breitbart News,Pentagon Correspondent,F,14455,1636,23251,Tue Dec 30 17:44:26 +0000 2008,True,False,391.0,107.0,222.0,622.0,1342.0,27,2
263473924,ElizLanders,"Landers, Elizabeth",CNN,White House Producer,F,16020,1266,18108,Thu Mar 10 03:15:18 +0000 2011,True,False,355.0,96.0,56.0,89.0,596.0,26,5
140901881,rongxiang,"Ching, Nike",Voice of America,State Department Correspondent,F,3127,364,3909,Thu May 06 17:15:57 +0000 2010,False,False,157.0,43.0,28.0,101.0,329.0,26,1
