,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
50325797,chucktodd,"Todd, Chuck",NBC News,"Political Director / Moderator, Meet the Press",M,1781247,1769,47083,Wed Jun 24 14:53:20 +0000 2009,True,False,78.0,90.0,42.0,312.0,522.0,40,31
16149614,jrovner,"Rovner, Julie",Kaiser Health News,Chief Washington Correspondent,F,21844,1608,14541,Fri Sep 05 21:12:34 +0000 2008,True,False,181.0,479.0,381.0,747.0,1788.0,40,19
346197350,justinsink,"Sink, Justin",Bloomberg News,White House Correspondent,M,13368,1213,14074,Sun Jul 31 21:58:33 +0000 2011,True,False,228.0,87.0,77.0,117.0,509.0,40,16
23578274,kyledcheney,"Cheney, Kyle",Politico,Congress Reporter,M,20051,717,8049,Tue Mar 10 10:42:36 +0000 2009,True,False,359.0,248.0,128.0,66.0,801.0,39,23
92544900,evanperez,"Perez, Evan",CNN,Justice Correspondent,M,18283,1970,21012,Wed Nov 25 15:26:44 +0000 2009,True,False,51.0,75.0,12.0,362.0,500.0,39,21
154985728,katieglueck,"Glueck, Katie",McClatchy Newspapers,Senior Political Correspondent,F,14135,4156,16534,Sat Jun 12 19:55:06 +0000 2010,True,False,116.0,115.0,64.0,254.0,549.0,39,16
17436250,nytmike,"Schmidt, Michael",New York Times,Reporter,M,64895,1427,2602,Mon Nov 17 06:25:03 +0000 2008,True,False,15.0,10.0,1.0,16.0,42.0,39,13
342226913,GregStohr,"Stohr, Greg",Bloomberg News,Supreme Court Reporter,M,7245,309,2315,Mon Jul 25 17:40:01 +0000 2011,True,False,91.0,37.0,63.0,19.0,210.0,38,7
16031927,greta,"Van Susteren, Greta",MSNBC,"Anchor, For the Record",F,1186850,2146,116645,Thu Aug 28 20:04:54 +0000 2008,True,False,907.0,3069.0,22.0,794.0,4792.0,37,28
103087786,deirdrewalshcnn,"Walsh, Deirdre",CNN,Senior Congressional Reporter & Producer,F,15069,1793,11995,Fri Jan 08 21:17:01 +0000 2010,True,False,243.0,52.0,3.0,104.0,402.0,37,17
41704988,Kevinliptakcnn,"Liptak, Kevin",CNN,White House Producer,M,10100,782,2165,Thu May 21 23:50:49 +0000 2009,True,False,77.0,12.0,5.0,35.0,129.0,35,20
48581849,anitakumar01,"Kumar, Anita",McClatchy Newspapers,White House Correspondent,F,11040,1900,17353,Fri Jun 19 02:33:21 +0000 2009,True,False,494.0,33.0,0.0,71.0,598.0,35,12
91386979,PeterAlexander,"Alexander, Peter",NBC News,National Correspondent,M,192392,485,2814,Fri Nov 20 17:37:33 +0000 2009,True,False,121.0,27.0,0.0,7.0,155.0,34,25
168290603,ToluseO,"Olorunnipa, Toluse",Bloomberg News,White House Reporter,M,6645,1055,8438,Sun Jul 18 23:26:05 +0000 2010,True,False,118.0,15.0,16.0,148.0,297.0,34,17
16547587,LeoShane,"Shane III, Leo",Sightline Media Group,"Congressional Reporter, Military Times",M,15464,423,30408,Wed Oct 01 18:19:22 +0000 2008,True,False,303.0,66.0,311.0,141.0,821.0,34,11
47837269,tparti,"Parti, Tarini",BuzzFeed,Reporter,F,8214,1060,5883,Wed Jun 17 03:16:35 +0000 2009,True,False,142.0,34.0,80.0,234.0,490.0,34,8
48029066,JamesRosenTV,"Rosen, James",Fox News,chief washington correspondent,M,179188,52196,24296,Wed Jun 17 16:58:41 +0000 2009,True,False,157.0,0.0,159.0,78.0,394.0,34,6
116953703,ellengilmer,"Gilmer, Ellen M.",E&E News,Legal Reporter,F,2217,707,7564,Wed Feb 24 02:47:04 +0000 2010,False,False,101.0,40.0,26.0,90.0,257.0,34,6
22077368,lesleyclark,"Clark, Lesley",McClatchy Newspapers,National Correspondent,F,5045,997,20292,Thu Feb 26 23:13:11 +0000 2009,True,False,317.0,84.0,2.0,554.0,957.0,34,5
130945778,mollyesque,"Ball, Molly",The Atlantic,Staff Writer,F,116857,2932,35617,Thu Apr 08 20:30:19 +0000 2010,True,False,108.0,29.0,196.0,102.0,435.0,33,22
36890646,danmericaCNN,"Merica, Daniel",CNN,Political Producer,M,59283,2051,28914,Fri May 01 05:21:55 +0000 2009,True,False,379.0,189.0,46.0,97.0,711.0,32,23
78694788,heatherscope,"Caygle, Heather Nicole",Politico,Reporter,F,5777,1594,12045,Wed Sep 30 20:02:16 +0000 2009,True,False,71.0,199.0,104.0,291.0,665.0,32,16
23621827,DavidNakamura,"Nakamura, David",Washington Post,White House Reporter,M,28836,1002,12077,Tue Mar 10 17:42:56 +0000 2009,True,False,194.0,74.0,65.0,29.0,362.0,32,14
42703163,SarahKarlin,"Karlin, Sarah",Politico,"Pharma, Politics, & Policy Reporter",F,6953,2010,13873,Tue May 26 19:50:18 +0000 2009,True,False,178.0,123.0,203.0,433.0,937.0,32,10
14999172,HMNorthey,"Northey, Hannah M.",E&E News,Energy Reporter,F,4732,1677,5734,Tue Jun 03 23:57:16 +0000 2008,False,False,89.0,59.0,70.0,464.0,682.0,32,10
118130765,dylanlscott,"Scott, Dylan L.",Stat News,Washington Correspondent,M,20122,1646,42497,Sat Feb 27 18:03:36 +0000 2010,True,False,885.0,441.0,2040.0,594.0,3960.0,31,16
21307076,SusanPage,"Page, Susan",USA Today,Washington Bureau Chief,F,48675,1158,18176,Thu Feb 19 15:24:13 +0000 2009,True,False,97.0,192.0,50.0,135.0,474.0,31,15
46417885,eschor,"Schor, Elana",Politico,Congressional Reporter,F,11691,697,11767,Thu Jun 11 15:58:38 +0000 2009,True,False,197.0,97.0,100.0,250.0,644.0,31,15
19847765,sahilkapur,"Kapur, Sahil",Bloomberg News,National Political Reporter,M,69086,530,51628,Sun Feb 01 05:18:57 +0000 2009,True,False,563.0,195.0,853.0,411.0,2022.0,31,13
50854062,nhheikkinen,"Heikkinen, Niina H.",E&E News,"Reporter, Climatewire",F,1124,1283,861,Fri Jun 26 01:05:31 +0000 2009,False,False,31.0,26.0,16.0,31.0,104.0,31,13
16625082,ryanobles,"Nobles, Ryan",CNN,Washington Correspondent,M,22419,1507,30455,Tue Oct 07 03:16:20 +0000 2008,True,False,247.0,94.0,139.0,49.0,529.0,31,12
37865281,lindsaywise,"Wise, Lindsay",Kansas City Star,Washington Correspondent,F,3748,5000,17045,Tue May 05 05:22:06 +0000 2009,False,False,306.0,114.0,16.0,1013.0,1449.0,31,9
937099921,JimmyHKoo,"Koo, Jimmy H.",Bloomberg BNA,Senior Legal Editor,M,867,1303,3537,Fri Nov 09 15:00:59 +0000 2012,False,False,102.0,31.0,79.0,555.0,767.0,31,6
165204211,AndrewRestuccia,"Restuccia, Andrew M.",Politico,Senior Policy Reporter,M,16032,1959,8403,Sat Jul 10 22:40:04 +0000 2010,True,False,48.0,9.0,11.0,137.0,205.0,30,18
16261513,KilloughCNN,"Killough, Ashley",CNN,Political Producer,F,20017,1887,11115,Fri Sep 12 19:00:38 +0000 2008,True,False,135.0,31.0,4.0,33.0,203.0,30,15
46447090,karoun,"Demirjian, Karoun",Washington Post,National Security & Foreign Policy Reporter,F,8209,1951,15104,Thu Jun 11 18:04:29 +0000 2009,False,False,107.0,94.0,19.0,389.0,609.0,30,15
12245632,jackshafer,"Shafer, Jack",Politico,"Senior Media Writer, Politico Magazine",M,73996,974,44726,Tue Jan 15 00:39:38 +0000 2008,True,False,560.0,8.0,861.0,587.0,2016.0,30,14
16247719,FrancoOrdonez,"Ordonez, Francisco",McClatchy Newspapers,White House Correspondent,M,3567,1777,4610,Thu Sep 11 21:04:33 +0000 2008,True,False,138.0,11.0,2.0,105.0,256.0,30,10
16097702,ChrisStirewalt,"Stirewalt, Chris",Fox News,"politics editor, fox news channel",M,67843,2041,7862,Tue Sep 02 15:04:20 +0000 2008,True,False,64.0,66.0,93.0,25.0,248.0,30,9
45828171,BennettJohnT,"Bennett, John T.",CQ Roll Call,White House Correspondent,M,6175,916,24958,Tue Jun 09 12:44:57 +0000 2009,True,False,257.0,77.0,15.0,147.0,496.0,29,18
64916983,joshgerstein,"Gerstein, Joshua A.",Politico,White House Reporter,M,26974,1515,30890,Wed Aug 12 03:04:18 +0000 2009,False,False,259.0,295.0,262.0,364.0,1180.0,29,15
46955476,GrahamDavidA,"Graham, David A.",The Atlantic,Staff Writer,M,22112,2060,93391,Sat Jun 13 20:18:33 +0000 2009,True,False,321.0,210.0,908.0,127.0,1566.0,29,14
20975060,johnrobertsFox,"Roberts, John",Fox News,chief white house correspondent,M,46183,406,4038,Mon Feb 16 10:19:01 +0000 2009,True,False,123.0,17.0,27.0,3.0,170.0,29,13
