,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
398088661,MEPFuller,"Fuller, Matt E.",Huffington Post,Congressional Reporter,M,77919,3740,42368,Tue Oct 25 15:20:25 +0000 2011,True,False,679.0,226.0,710.0,488.0,2103.0,14,8
17436250,nytmike,"Schmidt, Michael",New York Times,Reporter,M,64895,1427,2602,Mon Nov 17 06:25:03 +0000 2008,True,False,15.0,10.0,1.0,16.0,42.0,14,7
165204211,AndrewRestuccia,"Restuccia, Andrew M.",Politico,Senior Policy Reporter,M,16032,1959,8403,Sat Jul 10 22:40:04 +0000 2010,True,False,48.0,9.0,11.0,137.0,205.0,14,7
28496589,TenaciousTopper,"Shutt, Charles",WUSA–TV,Chief Meteorologist,M,15868,295,18391,Fri Apr 03 03:54:40 +0000 2009,True,False,496.0,30.0,6.0,250.0,782.0,14,6
16547587,LeoShane,"Shane III, Leo",Sightline Media Group,"Congressional Reporter, Military Times",M,15464,423,30408,Wed Oct 01 18:19:22 +0000 2008,True,False,303.0,66.0,311.0,141.0,821.0,14,6
150686538,jeremyherb,"Herb, Jeremy",CNN,National Security Reporter,M,8685,2230,12120,Tue Jun 01 15:19:58 +0000 2010,True,False,348.0,133.0,120.0,171.0,772.0,14,5
38855868,brennawilliams,"Williams, Brenna",CNN,Video Producer,F,7299,1212,23346,Sat May 09 13:53:36 +0000 2009,True,False,235.0,53.0,225.0,96.0,609.0,14,5
61734492,Fahrenthold,"Fahrenthold, David",Washington Post,Political Reporter,M,451778,3457,27573,Fri Jul 31 09:29:37 +0000 2009,True,False,141.0,184.0,41.0,2505.0,2871.0,13,10
46955476,GrahamDavidA,"Graham, David A.",The Atlantic,Staff Writer,M,22112,2060,93391,Sat Jun 13 20:18:33 +0000 2009,True,False,321.0,210.0,908.0,127.0,1566.0,13,9
45828171,BennettJohnT,"Bennett, John T.",CQ Roll Call,White House Correspondent,M,6175,916,24958,Tue Jun 09 12:44:57 +0000 2009,True,False,257.0,77.0,15.0,147.0,496.0,13,9
115718513,damianpaletta,"Paletta, Damian",Wall Street Journal / Dow Jones,White House Economic Policy Reporter,M,12291,1078,6901,Fri Feb 19 17:32:49 +0000 2010,True,False,77.0,47.0,2.0,152.0,278.0,13,8
37721714,bykowicz,"Bykowicz, Julie",Associated Press,White House Reporter,F,12326,1006,14004,Mon May 04 18:33:35 +0000 2009,True,False,83.0,165.0,55.0,362.0,665.0,13,7
105925025,siobhanehughes,"Hughes, Siobhan",Wall Street Journal / Dow Jones,Capitol Hill Reporter,F,3615,1511,1605,Sun Jan 17 23:33:12 +0000 2010,True,False,74.0,1.0,3.0,122.0,200.0,13,7
26668729,John_Hudson,"Hudson, John",Foreign Policy,"Senior Reporter, Diplomacy & National Security",M,16373,2439,14065,Thu Mar 26 02:39:24 +0000 2009,True,False,257.0,81.0,208.0,181.0,727.0,13,6
43996908,KattyKayBBC,"Kay, Katty",BBC,Anchor,F,94929,623,15975,Mon Jun 01 23:01:34 +0000 2009,True,False,158.0,189.0,3.0,801.0,1151.0,13,5
23621827,DavidNakamura,"Nakamura, David",Washington Post,White House Reporter,M,28836,1002,12077,Tue Mar 10 17:42:56 +0000 2009,True,False,194.0,74.0,65.0,29.0,362.0,13,5
114050808,LisaDNews,"Estes, Diane",PBS NewsHour,Producer,F,28838,843,18502,Sat Feb 13 23:28:22 +0000 2010,True,False,177.0,61.0,63.0,24.0,325.0,13,4
15993122,dsamuelsohn,"Samuelsohn, Darren Sean",Politico,Senior White House Reporter,M,9759,8563,4286,Tue Aug 26 05:54:38 +0000 2008,True,False,158.0,0.0,3.0,15.0,176.0,13,4
347466521,evanlehmann,"Lehmann, Evan W.",E&E News,"White House Reporter and Deputy Editor, Climatewire",M,4108,4311,1576,Tue Aug 02 21:00:55 +0000 2011,False,False,49.0,49.0,3.0,75.0,176.0,13,4
1152617791,MeghannReports,"Myers, Meghann",Sightline Media Group,Staff Writer,F,1256,189,5037,Wed Feb 06 01:59:39 +0000 2013,True,False,34.0,11.0,2.0,12.0,59.0,13,3
112047805,brithume,"Hume, Brit",Fox News,Senior Political Analyst,M,748449,624,12952,Sun Feb 07 02:55:13 +0000 2010,True,False,150.0,124.0,59.0,83.0,416.0,13,2
16031927,greta,"Van Susteren, Greta",MSNBC,"Anchor, For the Record",F,1186850,2146,116645,Thu Aug 28 20:04:54 +0000 2008,True,False,907.0,3069.0,22.0,794.0,4792.0,12,9
16441088,jestei,"Steinhauer, Jennifer",New York Times,Congress Reporter,F,13452,1000,11993,Wed Sep 24 21:03:18 +0000 2008,False,False,91.0,55.0,21.0,237.0,404.0,12,9
50325797,chucktodd,"Todd, Chuck",NBC News,"Political Director / Moderator, Meet the Press",M,1781247,1769,47083,Wed Jun 24 14:53:20 +0000 2009,True,False,78.0,90.0,42.0,312.0,522.0,12,8
19107878,GlennThrush,"Thrush, Glenn H.",New York Times,White House Correspondent,M,308181,3754,31419,Sat Jan 17 11:34:09 +0000 2009,True,False,558.0,386.0,9.0,154.0,1107.0,12,8
85131054,jeffzeleny,"Zeleny, Jeff",CNN,Senior White House Correspondent,M,244114,1639,12535,Sun Oct 25 18:01:39 +0000 2009,True,False,183.0,26.0,24.0,51.0,284.0,12,7
15837659,jbendery,"Bendery, Jennifer",Huffington Post,Politics Reporter,M,41000,346,65406,Wed Aug 13 15:05:39 +0000 2008,True,False,649.0,381.0,844.0,726.0,2600.0,12,7
22772264,carolelee,"Lee, Carol",Wall Street Journal / Dow Jones,White House Correspondent,F,31840,1376,2641,Wed Mar 04 13:49:56 +0000 2009,True,False,8.0,6.0,0.0,17.0,31.0,12,6
272710377,JamesArkin,"Arkin, James",RealClearPolitics,Congressional Reporter,M,3369,1520,12491,Sun Mar 27 01:31:23 +0000 2011,True,False,151.0,77.0,112.0,22.0,362.0,12,6
16625082,ryanobles,"Nobles, Ryan",CNN,Washington Correspondent,M,22419,1507,30455,Tue Oct 07 03:16:20 +0000 2008,True,False,247.0,94.0,139.0,49.0,529.0,12,5
357162119,AlexGangitano,"Gangitano, Alexandra",CQ Roll Call,"Reporter, Heard on the Hill",F,2415,616,4755,Wed Aug 17 23:14:26 +0000 2011,True,False,209.0,57.0,19.0,296.0,581.0,12,5
19914257,mviser,"Viser, Matthew",Boston Globe,Deputy Washington Bureau Chief,M,57700,1805,25358,Mon Feb 02 16:20:23 +0000 2009,True,False,511.0,78.0,19.0,186.0,794.0,12,4
