,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
16247719,FrancoOrdonez,"Ordonez, Francisco",McClatchy Newspapers,White House Correspondent,M,3567,1777,4610,Thu Sep 11 21:04:33 +0000 2008,True,False,138.0,11.0,2.0,105.0,256.0,30,10
16097702,ChrisStirewalt,"Stirewalt, Chris",Fox News,"politics editor, fox news channel",M,67843,2041,7862,Tue Sep 02 15:04:20 +0000 2008,True,False,64.0,66.0,93.0,25.0,248.0,30,9
45828171,BennettJohnT,"Bennett, John T.",CQ Roll Call,White House Correspondent,M,6175,916,24958,Tue Jun 09 12:44:57 +0000 2009,True,False,257.0,77.0,15.0,147.0,496.0,29,18
64916983,joshgerstein,"Gerstein, Joshua A.",Politico,White House Reporter,M,26974,1515,30890,Wed Aug 12 03:04:18 +0000 2009,False,False,259.0,295.0,262.0,364.0,1180.0,29,15
46955476,GrahamDavidA,"Graham, David A.",The Atlantic,Staff Writer,M,22112,2060,93391,Sat Jun 13 20:18:33 +0000 2009,True,False,321.0,210.0,908.0,127.0,1566.0,29,14
20975060,johnrobertsFox,"Roberts, John",Fox News,chief white house correspondent,M,46183,406,4038,Mon Feb 16 10:19:01 +0000 2009,True,False,123.0,17.0,27.0,3.0,170.0,29,13
80111587,JeffYoung,"Young, Jeffrey",Huffington Post,Senior Reporter,M,26497,769,30892,Mon Oct 05 19:59:42 +0000 2009,True,False,245.0,349.0,426.0,776.0,1796.0,28,15
168674628,SangerNYT,"Sanger, David",New York Times,National Security Correspondent,M,50806,1000,2254,Tue Jul 20 14:15:12 +0000 2010,False,False,33.0,49.0,3.0,89.0,174.0,28,11
19914257,mviser,"Viser, Matthew",Boston Globe,Deputy Washington Bureau Chief,M,57700,1805,25358,Mon Feb 02 16:20:23 +0000 2009,True,False,511.0,78.0,19.0,186.0,794.0,28,7
305649821,BlakeSobczak,"Sobczak, Blake H.",E&E News,Cybersecurity Reporter,M,2078,1070,11194,Thu May 26 15:32:57 +0000 2011,False,False,140.0,43.0,119.0,187.0,489.0,28,7
227790723,RichardRubinDC,"Rubin, Richard",Bloomberg News,Tax Policy Reporter,M,13015,493,17796,Fri Dec 17 20:38:28 +0000 2010,True,False,318.0,90.0,807.0,97.0,1312.0,27,21
21010214,BillHemmer,"Hemmer, Bill",Fox News,"Anchor, America's Newsroom",M,292289,419,8760,Mon Feb 16 18:22:41 +0000 2009,True,False,115.0,13.0,0.0,110.0,238.0,27,11
569244581,NoamLevey,"Levey, Noam",Los Angeles Times,National Healthcare Reporter,M,8207,950,3987,Wed May 02 16:47:19 +0000 2012,True,False,71.0,73.0,4.0,400.0,548.0,26,8
47991586,GarrettHaake,"Haake, Garrett",MSNBC,Correspondent,M,22880,1793,22051,Wed Jun 17 15:14:33 +0000 2009,True,False,263.0,273.0,233.0,145.0,914.0,25,16
15993122,dsamuelsohn,"Samuelsohn, Darren Sean",Politico,Senior White House Reporter,M,9759,8563,4286,Tue Aug 26 05:54:38 +0000 2008,True,False,158.0,0.0,3.0,15.0,176.0,25,15
26668729,John_Hudson,"Hudson, John",Foreign Policy,"Senior Reporter, Diplomacy & National Security",M,16373,2439,14065,Thu Mar 26 02:39:24 +0000 2009,True,False,257.0,81.0,208.0,181.0,727.0,25,15
190360266,connorobrienNH,"O’Brien, Connor",Politico,Defense Reporter,M,6158,1995,17242,Mon Sep 13 19:16:14 +0000 2010,True,False,954.0,255.0,258.0,477.0,1944.0,25,10
250492272,igorbobic,"Bobic, Igor",Huffington Post,Associate Politics Editor,M,23855,999,74019,Fri Feb 11 05:44:35 +0000 2011,True,False,593.0,344.0,288.0,582.0,1807.0,25,10
