,followers_count,followers_count,followers_count,following_count,following_count,following_count,tweet_count,tweet_count,tweet_count,tweets_in_dataset,tweets_in_dataset,tweets_in_dataset
,sum,size,average,sum,size,average,sum,size,average,sum,size,average
Radio Free Asia,640,7,91.42857142857143,1951,7,278.7142857142857,3135,7,447.85714285714283,89.0,7.0,12.714285714285714
Radio One,22,1,22.0,41,1,41.0,5,1,5.0,0.0,1.0,0.0
Real Clear Politics,806,1,806.0,505,1,505.0,8618,1,8618.0,405.0,1.0,405.0
Real News Network,1729,3,576.3333333333334,1227,3,409.0,1312,3,437.3333333333333,17.0,3.0,5.666666666666667
RealClearPolitics,75550,6,12591.666666666666,5826,6,971.0,65847,6,10974.5,1694.0,6.0,282.3333333333333
"Record (Bergen County, NJ)",3932,1,3932.0,976,1,976.0,7215,1,7215.0,192.0,1.0,192.0
Religion & Ethics Newsweekly,3420,2,1710.0,207,2,103.5,2643,2,1321.5,28.0,2.0,14.0
Religion News Service,19263,3,6421.0,6851,3,2283.6666666666665,13174,3,4391.333333333333,139.0,3.0,46.333333333333336
Religious News Service,1877,1,1877.0,1114,1,1114.0,1742,1,1742.0,60.0,1.0,60.0
Reuters Radio & TV,17889,19,941.5263157894736,14288,19,752.0,32235,19,1696.578947368421,790.0,19.0,41.578947368421055
Rural TV News,110,1,110.0,59,1,59.0,58,1,58.0,0.0,1.0,0.0
S&P Global Market Intelligence,17050,13,1311.5384615384614,11675,13,898.0769230769231,143032,13,11002.461538461539,4572.0,13.0,351.6923076923077
S&P Global Platts,4375,4,1093.75,3124,4,781.0,7718,4,1929.5,216.0,4.0,54.0
SAGE Business Researcher,867,1,867.0,1377,1,1377.0,1379,1,1379.0,18.0,1.0,18.0
SB Nation,4013,1,4013.0,1740,1,1740.0,4979,1,4979.0,48.0,1.0,48.0
SRN News (Salem),161,1,161.0,32,1,32.0,52,1,52.0,7.0,1.0,7.0
Salt Lake Tribune,4153,1,4153.0,1236,1,1236.0,13097,1,13097.0,422.0,1.0,422.0
San Francisco Chronicle,1770,1,1770.0,717,1,717.0,3765,1,3765.0,502.0,1.0,502.0
Scientific American,4496,2,2248.0,1552,2,776.0,6944,2,3472.0,94.0,2.0,47.0
Scoop News,2203,1,2203.0,2046,1,2046.0,2709,1,2709.0,195.0,1.0,195.0
Scripps Howard News Service,10117,2,5058.5,2086,2,1043.0,23320,2,11660.0,1457.0,2.0,728.5
Scripps News,20654,6,3442.3333333333335,7843,6,1307.1666666666667,29114,6,4852.333333333333,454.0,6.0,75.66666666666667
Scudder Publishing,138,1,138.0,143,1,143.0,52,1,52.0,12.0,1.0,12.0
Senate Democrats,1457,1,1457.0,1907,1,1907.0,1837,1,1837.0,13.0,1.0,13.0
Sightline Media Group,57492,12,4791.0,11145,12,928.75,117494,12,9791.166666666666,3819.0,12.0,318.25
Sinclair Broadcast Group,149826,10,14982.6,11920,10,1192.0,42919,10,4291.9,1602.0,10.0,160.2
Sirius XM,9718,1,9718.0,2378,1,2378.0,11819,1,11819.0,114.0,1.0,114.0
Sirius XM Satellite Radio,59449,7,8492.714285714286,10213,7,1459.0,91378,7,13054.0,5964.0,7.0,852.0
Sky News,29863,9,3318.1111111111113,6340,9,704.4444444444445,21760,9,2417.777777777778,461.0,9.0,51.22222222222222
Slate,80057,7,11436.714285714286,12170,7,1738.5714285714287,61925,7,8846.42857142857,1840.0,7.0,262.85714285714283
Smithsonian Magazine,2203,1,2203.0,733,1,733.0,2559,1,2559.0,180.0,1.0,180.0
Snapchat,81873,1,81873.0,6019,1,6019.0,19742,1,19742.0,245.0,1.0,245.0
Space News,656,1,656.0,1074,1,1074.0,6331,1,6331.0,12.0,1.0,12.0
St. Louis Post-Dispatch,2818,1,2818.0,1412,1,1412.0,26246,1,26246.0,893.0,1.0,893.0
St. Louis Public Radio,84,1,84.0,119,1,119.0,3603,1,3603.0,94.0,1.0,94.0
Standard - Examiner,757,1,757.0,1716,1,1716.0,3602,1,3602.0,310.0,1.0,310.0
Stars and Stripes,2816,1,2816.0,1261,1,1261.0,10409,1,10409.0,698.0,1.0,698.0
