Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all,attribute-Tweets-Sent-Count-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all-unscaled,kcore-1-Twitter JSON all,kcore-1-Twitter JSON all-unscaled,totalDegreeCentrality-1-Twitter JSON all,totalDegreeCentrality-1-Twitter JSON all-unscaled,twitter-actualInfluencer-1-Twitter JSON all,twitter-actualInfluencer-1-Twitter JSON all-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all,twitter-averageMentionsPerTweet-1-Twitter JSON all-unscaled,twitter-mostMentioned-1-Twitter JSON all,twitter-mostMentioned-1-Twitter JSON all-unscaled,twitter-numberOfFollowers-1-Twitter JSON all,twitter-numberOfFollowers-1-Twitter JSON all-unscaled,twitter-potentialConnectors-1-Twitter JSON all,twitter-potentialConnectors-1-Twitter JSON all-unscaled,twitter-potentialReach-1-Twitter JSON all,twitter-potentialReach-1-Twitter JSON all-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all,twitter-totalMentionsDegree-1-Twitter JSON all-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all,twitter-totalMentionsKcore-1-Twitter JSON all-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all-unscaled,twitter-trustedSource-1-Twitter JSON all,twitter-trustedSource-1-Twitter JSON all-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all,twitter-wantsToBeInfluencer-1-Twitter JSON all-unscaled,weakComponentMembers-5-Twitter JSON all,weakComponentMembers-3-Twitter JSON all,weakComponentMembers-4-Twitter JSON all,weakComponentMembers-2-Twitter JSON all,
3461197721,nogryskoWFED,0,199,1.797e-06,10,8.403e-04,2,5.762e-06,13,5.398e-04,933947,0.017,0.050,0.005,13,2.018e-04,448,0,745550.875,2.699e-05,90281832,0,0,1.395e-05,234,0.003,7,8.998e-04,8.403e-04,2,0.003,7,8.403e-04,2,1,1,1,1,
2740274906,TomDeFrank,0,1,0,0,0,0,0,0,7.852e-05,135848,0,0,0.004,9,2.198e-04,488,0,0,8.636e-06,28887002,0,0,0,18,0.003,7,1.041e-04,0,0,0,0,0,0,235,1,70,36,
172482310,News_with_Love,0,261,2.534e-05,141,0.005,11,3.590e-05,81,8.681e-04,1501903,0.180,0.540,0.008,20,0.002,5279,2.742e-05,91726992,4.048e-05,135405984,0.001,7,1.789e-05,300,0.006,14,2.118e-04,0.005,12,0.003,8,0.008,20,1,1,1,1,
519607649,JohnDSiciliano,0,399,2.157e-06,12,8.403e-04,2,0,2,5.207e-05,90090,0.010,0.030,0.003,7,3.315e-04,736,1.215e-06,4062719.500,1.342e-05,44903384,0,0,1.849e-06,31,0.002,5,8.697e-05,8.403e-04,2,0.001,3,0.003,8,1,1,1,1,
95072551,betsyscribeindc,0,1449,2.354e-05,131,0.003,6,6.205e-06,14,0.003,5510046,0.030,0.090,0.007,17,0.003,7459,4.263e-05,142589136,1.021e-04,341588640,2.973e-04,2,1.199e-05,201,0.005,11,1.662e-04,0.004,9,0.003,6,0.006,14,1,1,1,1,
59936143,Dimi,0,702,1.258e-05,70,0.002,4,2.393e-05,54,0.004,6127500,0.033,0.100,0.011,26,0.019,42407,1.266e-04,423652416,1.021e-04,341492960,0,0,1.545e-05,259,0.006,15,2.589e-04,0.003,7,0.008,18,0.007,16,1,1,1,1,
3452228235,andrea_shalal,0,137,1.258e-06,7,4.202e-04,1,1.773e-06,4,3.207e-05,55477,0.017,0.051,8.403e-04,2,2.054e-04,456,0,2077801.750,1.293e-05,43240216,0,0,0,12,4.202e-04,1,7.731e-05,4.202e-04,1,0,0,0,0,1,1,1,37,
23034870,thomaswatkins,0,135,3.954e-06,22,0.003,8,7.978e-06,18,6.247e-04,1080745,0.054,0.163,0.008,19,0.001,2429,7.966e-06,26646070,3.500e-05,117062424,7.433e-04,5,6.083e-06,102,0.007,16,2.168e-04,0.003,8,0.007,16,0.003,7,1,1,1,1,
24926288,SteveScully,0,159,1.132e-05,63,0.003,7,5.319e-06,12,7.212e-04,1247810,0.132,0.396,0.013,31,0.005,11680,1.935e-05,64711912,4.668e-05,156139088,1.487e-04,1,1.026e-05,172,0.008,19,1.777e-04,0.003,7,0.003,8,0.011,25,1,1,1,1,
525419131,cindysaine,0,3049,4.888e-05,272,0.003,6,1.640e-05,37,0.003,5187704,0.030,0.089,0.007,16,0.002,3822,2.688e-05,89920720,9.976e-05,333704288,1.487e-04,1,3.274e-05,549,0.004,9,2.385e-04,0.004,10,0.006,15,0.042,100,1,1,1,1,
58926235,Deena_CNN,0,908,2.210e-05,123,0.002,4,4.432e-06,10,0.002,3752474,0.045,0.135,0.006,15,0.002,4464,2.181e-05,72952544,8.336e-05,278837664,0,0,1.324e-05,222,0.005,11,1.761e-04,0.002,4,0.006,14,0.012,29,1,1,1,1,
22982676,LisaStark,0,137,7.368e-06,41,0.002,5,1.197e-05,27,2.409e-04,416851,0.100,0.299,0.005,12,0.003,5728,1.231e-05,41186216,1.215e-05,40635748,2.973e-04,2,6.918e-06,116,0.003,6,2.284e-04,0.003,8,0.004,10,0.002,4,1,1,1,1,
19250369,cphenicie,0,159,3.415e-06,19,8.403e-04,2,4.875e-06,11,6.294e-05,108901,0.040,0.119,0.002,5,6.075e-04,1349,1.823e-06,6099599,8.018e-06,26822290,0,0,2.564e-06,43,0.002,4,1.014e-04,8.403e-04,2,4.202e-04,1,0.001,3,1,1,1,1,
594638044,JohnHeltman,0,389,1.402e-05,78,0.004,9,2.083e-05,47,2.351e-04,406828,0.067,0.201,0.009,21,4.801e-04,1066,6.700e-06,22413780,1.821e-05,60915572,4.460e-04,3,1.097e-05,184,0.006,14,1.848e-04,0.004,10,0.006,15,0.005,11,236,1,1,1,
191964162,SamLitzinger,0,18347,3.071e-04,1709,0.004,9,2.039e-05,46,9.458e-04,1636374,0.031,0.093,0.007,17,0.001,2425,5.950e-05,199044032,4.862e-05,162649488,1.487e-04,1,1.781e-04,2987,0.005,11,1.571e-04,0.005,13,0.004,10,0.134,318,1,1,1,1,
145313067,etuckerAP,0,1372,4.277e-05,238,0.009,21,6.737e-05,152,0.005,8222367,0.058,0.173,0.039,93,0.003,5602,4.549e-05,152151696,5.452e-05,182390976,0.009,60,6.065e-05,1017,0.016,39,0.001,0.016,37,0.033,78,0.021,50,1,1,1,1,
743964506,CNNWade,0,85,5.212e-06,29,0.003,6,4.432e-06,10,7.694e-05,133121,0.114,0.341,0.004,10,6.611e-04,1468,4.466e-06,14939676,8.920e-06,29837718,4.460e-04,3,3.757e-06,63,0.004,10,8.899e-05,0.003,6,0.002,5,0.005,13,237,1,1,1,
46713710,bscanlanCSPAN,0,504,1.546e-05,86,0.003,8,1.330e-05,30,2.126e-04,367773,0.057,0.171,0.009,22,3.999e-04,888,4.651e-06,15559077,1.826e-05,61089952,5.946e-04,4,1.193e-05,200,0.005,13,1.554e-04,0.005,13,0.007,16,0.012,29,1,1,1,1,
100802089,ayesharascoe,0,80,5.212e-06,29,0.002,4,3.103e-06,7,3.247e-04,561842,0.121,0.363,0.008,18,0.002,3957,8.926e-06,29857448,2.120e-05,70909816,0,0,3.638e-06,61,0.007,16,1.488e-04,0.002,4,0.001,3,0.002,5,238,1,1,1,
48802204,HardballChris,0,93,5.212e-06,29,0.002,4,2.659e-06,6,0.024,41161972,0.104,0.312,0.020,47,0.351,779895,1.922e-04,643064320,1.168e-04,390736800,0,0,1.461e-05,245,0.011,26,3.989e-04,0.002,4,0.004,10,8.403e-04,2,239,1,1,1,
32521584,steveholland1,0,457,8.626e-06,48,0.005,13,1.817e-05,41,0.011,18912238,0.035,0.105,0.052,124,0.007,15012,3.210e-05,107368392,1.047e-04,350068704,0.002,12,3.489e-05,585,0.017,41,9.370e-04,0.008,19,0.034,82,0.008,19,1,1,1,1,
399225358,b_muzz,0,29,2.157e-06,12,8.403e-04,2,1.330e-06,3,8.316e-05,143874,0.138,0.414,0.003,7,2.918e-04,648,0,3209471,1.150e-05,38453452,0,0,1.968e-06,33,0.003,7,1.057e-04,8.403e-04,2,0.002,5,0.002,4,240,1,1,1,
