Attribute,Measure,Group,Min,Mean,Max,Stddev,
LANGUAGE_SENDER,totalDegreeCentrality-1,Cs,0,1.036e-04,8.628e-04,1.802e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Ht,0,9.043e-05,8.628e-04,1.319e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Et,0,7.603e-05,8.628e-04,1.247e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Fr,0,5.710e-05,8.628e-04,9.670e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,Es,0,5.573e-05,8.628e-04,9.932e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,Tl,0,6.886e-05,8.628e-04,1.198e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Nl,0,9.069e-05,8.628e-04,1.418e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Tr,0,1.029e-04,8.628e-04,1.593e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Hu,0,1.139e-04,8.628e-04,1.993e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,It,0,8.625e-05,8.628e-04,1.408e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Da,0,8.320e-05,8.628e-04,1.364e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,In,0,7.000e-05,8.628e-04,1.139e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Sv,0,1.010e-04,8.628e-04,1.464e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Pt,0,8.135e-05,8.628e-04,1.315e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,De,0,7.788e-05,8.628e-04,1.233e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Fi,0,9.530e-05,8.628e-04,1.607e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Cy,0,1.092e-04,8.628e-04,1.517e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Is,6.315e-06,1.690e-04,8.628e-04,2.309e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Eu,0,1.184e-04,8.628e-04,1.823e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Lv,0,1.322e-04,8.628e-04,2.266e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Hi,0,9.302e-05,8.628e-04,1.694e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Ko,0,2.106e-04,8.628e-04,3.291e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Ru,0,9.119e-05,4.515e-04,1.236e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Lt,0,1.076e-04,6.781e-04,1.518e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Ar,0,3.063e-05,1.539e-04,5.516e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,Iw,0,7.104e-05,2.179e-04,8.448e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,Sl,0,5.252e-05,4.136e-04,8.622e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,Ja,0,9.407e-05,6.781e-04,1.847e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Vi,2.368e-06,1.139e-04,5.620e-04,1.597e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Uk,0,1.376e-05,6.552e-05,2.174e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,Zh,0,1.004e-05,3.868e-05,1.264e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,Fa,0,1.263e-06,4.736e-06,1.841e-06,
LANGUAGE_SENDER,totalDegreeCentrality-1,Ur,1.105e-05,3.000e-05,4.894e-05,1.894e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,My,0,0,0,0,
LANGUAGE_SENDER,totalDegreeCentrality-1,Km,0,0,0,0,
LANGUAGE_SENDER,totalDegreeCentrality-1,Sr,0,0,0,0,
LANGUAGE_SENDER,totalDegreeCentrality-1,No Value,0,0,0,0,
LANGUAGE_SENDER,twitter-actualInfluencer-1,En,5.535e-09,0.005,1,0.027,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Und,2.767e-08,0.007,1,0.032,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Ro,6.264e-07,0.017,0.377,0.048,
LANGUAGE_SENDER,twitter-actualInfluencer-1,No,2.989e-07,0.017,0.160,0.030,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Pl,1.753e-07,0.018,1,0.078,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Cs,2.989e-07,0.015,0.105,0.024,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Ht,5.166e-07,0.014,0.160,0.028,
