"Total Degree","Frequency","TF-IDF","Action","Current Node Name","New Node Name","Current Node Class","New Node Class","Current Nodeset Name","New Nodeset Name","Current Node Type","New Node Type"
"19.0","9",,,"37377034",,"Agent",,"Agent",,"",
"20.0","9",,,"19355829",,"Agent",,"Agent",,"",
"6290.0","4702",,,"25112718",,"Agent",,"Agent",,"",
"1785.0","1245",,,"24844300",,"Agent",,"Agent",,"",
"12.0","6",,,"221135570",,"Agent",,"Agent",,"",
"102.0","50",,,"704320143824953344",,"Agent",,"Agent",,"",
"365.0","170",,,"384335594",,"Agent",,"Agent",,"",
"2468.0","1324",,,"48038024",,"Agent",,"Agent",,"",
"18.0","9",,,"52774637",,"Agent",,"Agent",,"",
"5574.0","1762",,,"28785486",,"Agent",,"Agent",,"",
"1102.0","378",,,"8953122",,"Agent",,"Agent",,"",
"147.0","58",,,"56223278",,"Agent",,"Agent",,"",
"3309.0","2860",,,"65962672",,"Agent",,"Agent",,"",
"4744.0","3329",,,"17919393",,"Agent",,"Agent",,"",
"6965.0","5003",,,"15675138",,"Agent",,"Agent",,"",
"10.0","3",,,"335534204",,"Agent",,"Agent",,"",
"34.0","7",,,"25067168",,"Agent",,"Agent",,"",
"8799.0","5787",,,"63717541",,"Agent",,"Agent",,"",
"414.0","168",,,"727472528",,"Agent",,"Agent",,"",
"49.0","24",,,"17956900",,"Agent",,"Agent",,"",
"28.0","14",,,"56256786",,"Agent",,"Agent",,"",
"302.0","114",,,"35247675",,"Agent",,"Agent",,"",
"137.0","61",,,"155214257",,"Agent",,"Agent",,"",
"10.0","5",,,"1285863655",,"Agent",,"Agent",,"",
"134.0","39",,,"474464413",,"Agent",,"Agent",,"",
"55.0","21",,,"42259293",,"Agent",,"Agent",,"",
"7.0","3",,,"825372940975878146",,"Agent",,"Agent",,"",
"361.0","119",,,"592730371",,"Agent",,"Agent",,"",
"57.0","29",,,"230859523",,"Agent",,"Agent",,"",
"11.0","3",,,"1587217921",,"Agent",,"Agent",,"",
"16.0","5",,,"45807334",,"Agent",,"Agent",,"",
"69.0","33",,,"53082044",,"Agent",,"Agent",,"",
"2.0","1",,,"73714732",,"Agent",,"Agent",,"",
"2.0","1",,,"493835191",,"Agent",,"Agent",,"",
"2.0","1",,,"133837558",,"Agent",,"Agent",,"",
"2776.0","1454",,,"48459553",,"Agent",,"Agent",,"",
"7.0","2",,,"500340487",,"Agent",,"Agent",,"",
"2.0","1",,,"847152226808348681",,"Agent",,"Agent",,"",
"12.0","6",,,"1209603074",,"Agent",,"Agent",,"",
"7.0","2",,,"323995477",,"Agent",,"Agent",,"",
"19.0","7",,,"34082620",,"Agent",,"Agent",,"",
"29.0","14",,,"104850722",,"Agent",,"Agent",,"",
"867.0","355",,,"7744592",,"Agent",,"Agent",,"",
"18.0","5",,,"1453418317",,"Agent",,"Agent",,"",
"11.0","4",,,"23317891",,"Agent",,"Agent",,"",
"148.0","38",,,"18856867",,"Agent",,"Agent",,"",
"14.0","6",,,"40604613",,"Agent",,"Agent",,"",
"41.0","13",,,"16403943",,"Agent",,"Agent",,"",
"530.0","172",,,"17995040",,"Agent",,"Agent",,"",
"2.0","1",,,"52647524",,"Agent",,"Agent",,"",
"6.0","3",,,"66495289",,"Agent",,"Agent",,"",
"2.0","1",,,"455394184",,"Agent",,"Agent",,"",
"57.0","24",,,"18935711",,"Agent",,"Agent",,"",
"30.0","15",,,"44397959",,"Agent",,"Agent",,"",
"6.0","3",,,"2911268155",,"Agent",,"Agent",,"",
"6.0","3",,,"26276475",,"Agent",,"Agent",,"",
"458.0","140",,,"14844867",,"Agent",,"Agent",,"",
"2.0","1",,,"1199599764",,"Agent",,"Agent",,"",
"4.0","2",,,"3252036844",,"Agent",,"Agent",,"",
"24.0","12",,,"3656355436",,"Agent",,"Agent",,"",
"72.0","32",,,"7597712",,"Agent",,"Agent",,"",
"16.0","6",,,"137245465",,"Agent",,"Agent",,"",
"12.0","5",,,"24993788",,"Agent",,"Agent",,"",
"7.0","2",,,"275870482",,"Agent",,"Agent",,"",
"39.0","12",,,"3297022953",,"Agent",,"Agent",,"",
"1519.0","762",,,"39308549",,"Agent",,"Agent",,"",
"468.0","383",,,"18943233",,"Agent",,"Agent",,"",
"355.0","109",,,"16297707",,"Agent",,"Agent",,"",
"242.0","114",,,"2963445730",,"Agent",,"Agent",,"",
"563.0","199",,,"18005085",,"Agent",,"Agent",,"",
"1519.0","1259",,,"294902433",,"Agent",,"Agent",,"",
"227.0","109",,,"817822089319161857",,"Agent",,"Agent",,"",
"1586.0","637",,,"35773039",,"Agent",,"Agent",,"",
"592.0","215",,,"47448886",,"Agent",,"Agent",,"",
"127.0","68",,,"14477880",,"Agent",,"Agent",,"",
"6.0","3",,,"734874211135553537",,"Agent",,"Agent",,"",
"4.0","2",,,"41280851",,"Agent",,"Agent",,"",
"65.0","28",,,"808823195298103297",,"Agent",,"Agent",,"",
"624.0","208",,,"16101182",,"Agent",,"Agent",,"",
"132.0","66",,,"1536791610",,"Agent",,"Agent",,"",
"51.0","19",,,"170402958",,"Agent",,"Agent",,"",
"290.0","228",,,"776569014",,"Agent",,"Agent",,"",
"18.0","6",,,"245484736",,"Agent",,"Agent",,"",
"1639.0","959",,,"18986746",,"Agent",,"Agent",,"",
"10638.0","3231",,,"299802277",,"Agent",,"Agent",,"",
"335.0","116",,,"153895662",,"Agent",,"Agent",,"",
