Total Degree	Frequency	TF-IDF	Action	Current Node Name	New Node Name	Current Node Class	New Node Class	Current Nodeset Name	New Nodeset Name	Current Node Type	New Node Type
21.0	8		delete	25928111		Agent		Agent			
12.0	6		delete	52293877		Agent		Agent			
22.0	5		delete	16950863		Agent		Agent			
10192.0	7526			36246939		Agent		Agent			
168.0	84		delete	2425151		Agent		Agent			
20.0	9		delete	13001192		Agent		Agent			
28.0	14		delete	26886095		Agent		Agent			
28.0	14		delete	17416571		Agent		Agent			
6815.0	2264		delete	1652541		Agent		Agent			
164.0	51		delete	27027979		Agent		Agent			
2.0	1		delete	423130514		Agent		Agent			
89.0	43		delete	160946337		Agent		Agent			
11.0	5		delete	226271084		Agent		Agent			
114.0	37		delete	817049481141252096		Agent		Agent			
251.0	176		delete	15649433		Agent		Agent			
2.0	1		delete	26851483		Agent		Agent			
4674.0	3585			56001656		Agent		Agent			
143.0	37		delete	2703702428		Agent		Agent			
6.0	2		delete	770174194575347713		Agent		Agent			
152.0	67		delete	20796069		Agent		Agent			
241.0	119		delete	84406725		Agent		Agent			
46.0	19		delete	25971804		Agent		Agent			
330.0	154		delete	10126672		Agent		Agent			
1078.0	423		delete	95431448		Agent		Agent			
4855.0	1478			31127446		Agent		Agent			
9.0	3		delete	17866318		Agent		Agent			
1260.0	1097			94116066		Agent		Agent			
299.0	157		delete	185376376		Agent		Agent			
105.0	40			109446583		Agent		Agent			
2667.0	803		delete	14412533		Agent		Agent			
5996.0	5536			403830992		Agent		Agent			
1527.0	719		delete	1339835893		Agent		Agent			
110.0	43		delete	15532569		Agent		Agent			
3362.0	866		delete	2097571		Agent		Agent			
53.0	23		delete	626533732		Agent		Agent			
144.0	62		delete	10929352		Agent		Agent			
503.0	286		delete	32007346		Agent		Agent			
671.0	212		delete	95518830		Agent		Agent			
12990.0	8950			18646108		Agent		Agent			
32.0	14		delete	171182922		Agent		Agent			
658.0	189		delete	17470695		Agent		Agent			
2.0	1		delete	164964676		Agent		Agent			
20.0	6		delete	14630585		Agent		Agent			
14.0	7		delete	71159369		Agent		Agent			
21.0	6		delete	222953824		Agent		Agent			
12.0	6		delete	593893034		Agent		Agent			
