"kevineys","61863624","Vineys, Kevin","Associated Press","Multimedia Reporter","M","422","1792","134","Fri Jul 31 20:13:40 +0000 2009","False","False"
"paulwisemanap","1099479379","Wiseman, Paul","Associated Press","Economy Reporter","M","1326","587","851","Thu Jan 17 22:52:13 +0000 2013","False","False"
"ajconwashington","89460898","Hallerman, Tamar","Atlanta Journal-Consitution","Washington Correspondent","F","4943","1098","19848","Thu Nov 12 14:47:15 +0000 2009","True","False"
"maria_e_recio","456994513","Recio, Maria","Austin American-Statesman","Political Reporter","F","1039","530","38464","Fri Jan 06 22:22:40 +0000 2012","False","False"
"axiosnick","329809276","Johnston, Nicholas","Axios","Editor","M","3450","822","3959","Tue Jul 05 17:11:54 +0000 2011","False","False"
"davidnather","340997626","Nather, David","Axios","Healthcare Editor","M","7493","1097","5323","Sat Jul 23 16:54:54 +0000 2011","True","False"
"sunjeffbarker","61222745","Barker, Jeffrey","Baltimore Sun","Sports Business Reporter","M","5798","2637","12348","Wed Jul 29 15:38:42 +0000 2009","True","False"
"iduncan","10877082","Duncan, Ian","Baltimore Sun","Maryland General Assembly Reporter","M","5213","1084","12013","Wed Dec 05 17:32:37 +0000 2007","True","False"
"jfritze","15973881","Fritze, John","Baltimore Sun","Washington Correspondent","M","4059","1158","7113","Sun Aug 24 22:56:20 +0000 2008","True","False"
"fawnjohnson","15481070","Johnson, Fawn","Bloomberg BNA","Managing Editor","F","3766","762","3937","Fri Jul 18 14:02:51 +0000 2008","False","False"
"briandabbs","93082722","Dabbs, Brian","Bloomberg BNA","Energy Reporter","M","420","408","1916","Sat Nov 28 00:32:04 +0000 2009","False","False"
"dalykyle","248088312","Daly, Kyle","Bloomberg BNA","Senior Reporter, Tech & Telecom Policy ","M","1150","1042","4201","Sun Feb 06 06:33:04 +0000 2011","True","False"
"stacyomara","42706541","O’Mara, Stacy","Bloomberg Government","Congressional Analyst","F","196","441","397","Tue May 26 20:06:10 +0000 2009","False","False"
"dparn22","17138140","Parnass, Danielle","Bloomberg Government","Analyst","F","279","458","191","Mon Nov 03 19:49:34 +0000 2008","False","False"
"katherinebscott","3273220608","Scott, Katherine","Bloomberg Government","Legislative Data Analyst","F","1719","1255","8826","Thu Jul 09 20:19:52 +0000 2015","False","False"
"kayrwebb","594171971","Webb, Kayla","Bloomberg Government","Data Analyst","F","86","193","410","Wed May 30 00:53:30 +0000 2012","False","False"
"loren_duggan","780221130","Duggan, Loren","Bloomberg Government","Head of Govt Affairs Content","M","590","886","919","Sat Aug 25 12:32:20 +0000 2012","False","False"
"sshoptaw","26021583","Kussin-Shoptaw, Samuel","Bloomberg Government","Government Affairs Data Team Lead","M","628","1392","5769","Mon Mar 23 15:28:29 +0000 2009","True","False"
"willmatthews","12276442","Matthews, William","Bloomberg Government","Head of Data","M","210","164","2353","Tue Jan 15 15:25:56 +0000 2008","False","False"
"grolar_bear","128950185","Meteer, Robert","Bloomberg Government","Quantitative Analyst","M","111","88","177","Fri Apr 02 18:17:10 +0000 2010","False","False"
"schank_a","2193026041","Schank, Adam","Bloomberg Government","Legislative Analyst","M","190","447","563","Wed Nov 13 22:13:29 +0000 2013","False","False"
"laurieasseo","235307346","Asseo, Laurie","Bloomberg News","Editor, Congress & Supreme Court","F","133","107","728","Fri Jan 07 21:30:05 +0000 2011","False","False"
"shochandra","2321099287","Chandra, Shobhana","Bloomberg News","Reporter","F","571","223","547","Fri Jan 31 17:03:54 +0000 2014","False","False"
"edexheimer","21124351","Dexheimer, Elizabeth","Bloomberg News","Congress & Financial Regulation Reporter","F","1210","543","472","Tue Feb 17 20:05:46 +0000 2009","True","False"
"annaedney","57124794","Edney, Anna","Bloomberg News","Health Reporter","F","5040","637","2823","Wed Jul 15 20:19:26 +0000 2009","True","False"
"jeneps","45399148","Epstein, Jennifer","Bloomberg News","Political Reporter ","F","57713","1507","39510","Sun Jun 07 19:02:54 +0000 2009","True","False"
"cheyhopkins","121469977","Hopkins, Cheyenne","Bloomberg News","Financial Services Congressional Reporter","F","2925","2461","1185","Tue Mar 09 16:04:12 +0000 2010","False","False"
"mljamrisko","21662510","Jamrisko, Michelle","Bloomberg News","U.S. Economy Reporter","F","2133","1071","3590","Mon Feb 23 15:54:00 +0000 2009","True","False"
"kklimasinska","488756792","Klimasinska, Katarzyna","Bloomberg News","Economy Reporter","F","822","404","778","Fri Feb 10 20:18:19 +0000 2012","True","False"
"lauralitvan","313545488","Litvan, Laura","Bloomberg News","Congressional & Political Reporter","F","3307","1314","3613","Wed Jun 08 20:35:36 +0000 2011","True","False"
"rmeszoly","143154318","Meszoly, Robin","Bloomberg News","Congress Tracker/DC First Word Editor","F","576","539","460","Wed May 12 18:53:06 +0000 2010","False","False"
"kathleenemiller","86752237","Miller, Kathleen","Bloomberg News","Congress Reporter","F","337","296","201","Sun Nov 01 16:31:13 +0000 2009","False","False"
"elissanadworny","24716521","Nadworny, Elissa","Bloomberg News","Weekend White House Reporter","F","1888","702","2110","Mon Mar 16 16:11:33 +0000 2009","True","False"
"caschaberg","1565684575","Schaberg, Caroline","Bloomberg News","Social Velocity","F","3630","4971","2113","Wed Jul 03 12:31:01 +0000 2013","True","False"
"jeannasmialek","258157507","Smialek, Jeanna","Bloomberg News","Economy Reporter","F","4208","1051","4262","Sun Feb 27 02:50:02 +0000 2011","True","False"
"margarettalev","58869089","Talev, Margaret","Bloomberg News","Senior White House Reporter","F","17193","4394","4211","Tue Jul 21 18:06:26 +0000 2009","True","False"
"rtiron","111622423","Tiron, Roxana","Bloomberg News","Congress & National Security Reporter","F","450","158","678","Fri Feb 05 15:41:10 +0000 2010","False","False"
"chloewhiteaker","948430884","Whiteaker, Chloe","Bloomberg News","Visual Reporter","F","1099","552","1980","Wed Nov 14 20:25:57 +0000 2012","True","False"
"alanbjerga","368366215","Bjerga, Alan","Bloomberg News","Policy and Power Co-Host.","M","2098","436","1615","Mon Sep 05 14:34:30 +0000 2011","True","False"
"justin_blum_","300389351","Blum, Justin","Bloomberg News","Senior Editor","M","602","616","3170","Tue May 17 17:47:20 +0000 2011","False","False"
"romainebostick","898199582","Bostick, Romaine","Bloomberg News","Editor","M","434","1186","2549","Mon Oct 22 19:07:11 +0000 2012","False","False"
"benbrodydc","193353562","Brody, Benjamin","Bloomberg News","Lobbying and Government Ethics Reporter","M","1684","1149","19292","Tue Sep 21 16:27:39 +0000 2010","True","False"
"sabrush","59045843","Brush, Silla","Bloomberg News","Financial Regulation Reporter","M","5720","3247","12529","Wed Jul 22 05:23:19 +0000 2009","False","False"
"alisterbull1","126411852","Bull, Alister","Bloomberg News","Federal Reserve Editor","M","2285","1085","6806","Thu Mar 25 20:00:14 +0000 2010","True","False"
"acapaccio","301628954","Capaccio, Anthony","Bloomberg News","Defense Reporter","M","4949","189","3966","Thu May 19 19:49:47 +0000 2011","True","False"
"chrisjcondon","330565637","Condon, Christopher","Bloomberg News","Federal Reserve & Economy Reporter","M","1626","703","3390","Wed Jul 06 20:23:19 +0000 2011","False","False"
"mikedorning","301073375","Dorning, Mike","Bloomberg News","Deputy White House Editor","M","3830","1301","4898","Wed May 18 20:46:08 +0000 2011","True","False"
"carterd","19902826","Dougherty, Carter","Bloomberg News","","M","1477","1344","9526","Mon Feb 02 11:43:09 +0000 2009","False","False"
"drajem","73145792","Drajem, Mark","Bloomberg News","Energy Editor","M","1431","648","3465","Thu Sep 10 15:49:06 +0000 2009","False","False"
"josheidelson","21005767","Eidelson, Joshua","Bloomberg News","Labor Reporter","M","16258","3832","31198","Mon Feb 16 17:34:47 +0000 2009","True","False"
"cflav","242893326","Flavelle, Christopher","Bloomberg News","Cimate & Adaptation Policy Reporter","M","4270","2304","12226","Tue Jan 25 20:59:10 +0000 2011","True","False"
"sgeimann","28263180","Geimann, Stephen","Bloomberg News","Editor","M","321","715","1157","Thu Apr 02 02:38:18 +0000 2009","False","False"
