Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all_filtered,attribute-Tweets-Sent-Count-1-Twitter JSON all_filtered,inDegreeCentrality-1-Twitter JSON all_filtered,inDegreeCentrality-1-Twitter JSON all_filtered-unscaled,kcore-1-Twitter JSON all_filtered,kcore-1-Twitter JSON all_filtered-unscaled,totalDegreeCentrality-1-Twitter JSON all_filtered,totalDegreeCentrality-1-Twitter JSON all_filtered-unscaled,twitter-actualInfluencer-1-Twitter JSON all_filtered,twitter-actualInfluencer-1-Twitter JSON all_filtered-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all_filtered,twitter-averageMentionsPerTweet-1-Twitter JSON all_filtered-unscaled,twitter-mostMentioned-1-Twitter JSON all_filtered,twitter-mostMentioned-1-Twitter JSON all_filtered-unscaled,twitter-numberOfFollowers-1-Twitter JSON all_filtered,twitter-numberOfFollowers-1-Twitter JSON all_filtered-unscaled,twitter-potentialConnectors-1-Twitter JSON all_filtered,twitter-potentialConnectors-1-Twitter JSON all_filtered-unscaled,twitter-potentialReach-1-Twitter JSON all_filtered,twitter-potentialReach-1-Twitter JSON all_filtered-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all_filtered,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all_filtered,twitter-totalMentionsDegree-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all_filtered,twitter-totalMentionsKcore-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all_filtered,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all_filtered,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all_filtered-unscaled,twitter-trustedSource-1-Twitter JSON all_filtered,twitter-trustedSource-1-Twitter JSON all_filtered-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all_filtered,twitter-wantsToBeInfluencer-1-Twitter JSON all_filtered-unscaled,weakComponentMembers-5-Twitter JSON all_filtered,weakComponentMembers-3-Twitter JSON all_filtered,weakComponentMembers-4-Twitter JSON all_filtered,weakComponentMembers-2-Twitter JSON all_filtered,
172235658,wesjonesDC,0,2,0,0,0,0,0,0,3.322e-05,13226,0,0,8.722e-04,2,1.475e-04,327,0,0,9.662e-06,6154795.500,0,0,0,2,8.722e-04,2,9.862e-05,0,0,0,0,0,0,341,1,181,83,
505079765,sambrodey,0,80,6.125e-06,6,4.361e-04,1,0,1,1.693e-04,67421,0.027,0.075,0.003,8,9.435e-04,2091,2.444e-06,1556821.250,2.200e-05,14012727,0,0,1.131e-05,25,0.003,6,1.192e-04,4.361e-04,1,0.002,4,0.002,5,342,1,3,2,
29220591,RealBrittHughes,0,783,1.838e-05,18,4.361e-04,1,2.901e-06,3,1.655e-04,65884,0.008,0.023,0.001,3,0.002,4617,5.125e-05,32643844,1.514e-05,9641774,0,0,1.266e-05,28,4.361e-04,1,1.615e-04,8.722e-04,2,8.722e-04,2,8.722e-04,2,2,1,3,2,
459895889,HeatherMCurtis1,0,171,8.167e-06,8,8.722e-04,2,3.868e-06,4,1.228e-04,48907,0.017,0.047,0.003,6,4.810e-04,1066,1.479e-06,941939,2.010e-05,12804779,0,0,7.689e-06,17,0.002,4,2.006e-04,0.001,3,0.001,3,0,0,2,1,3,2,
221153484,marisa_schultz,0,52,1.021e-05,10,4.361e-04,1,1.934e-06,2,2.100e-04,83600,0.070,0.192,0.003,6,8.505e-04,1885,5.886e-06,3749467,3.072e-05,19566962,0,0,1.176e-05,26,0.002,4,1.117e-04,4.361e-04,1,0.002,4,0.002,5,2,1,3,2,
14873782,khinman,0,51,1.940e-05,19,0.001,3,4.835e-06,5,0.003,1276643,0.135,0.373,0.007,16,0.004,8682,4.133e-05,26323742,1.638e-04,104335216,0,0,2.804e-05,62,0.005,11,2.139e-04,0.001,3,0.007,16,0.003,8,2,1,3,2,
267941781,joshboak,0,444,1.399e-04,137,0.003,7,5.028e-05,52,0.001,567416,0.112,0.309,0.008,19,9.195e-04,2038,8.097e-05,51575288,7.024e-05,44744404,0.014,6,1.325e-04,293,0.004,10,3.984e-04,0.007,15,0.003,7,0.014,32,2,1,3,2,
125943165,Sam1Fleming,0,130,1.940e-05,19,8.722e-04,2,1.064e-05,11,7.028e-04,279833,0.053,0.146,0.002,5,0.003,7150,9.378e-05,59735544,8.470e-05,53953168,0,0,2.171e-05,48,0.001,3,1.254e-04,8.722e-04,2,0.001,3,0.003,7,2,1,3,2,
336172993,GregGordon2,0,12,0,0,0,0,0,0,2.072e-04,82485,0,0,0.003,7,6.380e-04,1414,0,0,4.139e-05,26362014,0,0,4.523e-06,10,0.003,7,1.066e-04,0,0,0,0,0,0,2,1,182,84,
720250055899226112,elizabethjorr,0,1,0,0,0,0,0,0,0,175,0,0,0,0,7.896e-05,175,0,0,0,0,0,0,0,0,0,0,8.143e-05,0,0,0,0,0,0,343,31,183,85,
19125732,esullivannyt,0,10,3.063e-06,3,4.361e-04,1,0,1,0.002,843680,0.109,0.300,0.002,5,0.002,4047,4.061e-06,2586640.250,1.764e-04,112366872,0,0,7.237e-06,16,0.002,5,2.690e-04,4.361e-04,1,0,0,8.722e-04,2,344,1,3,2,
44958274,RSmith_997,0,5,2.042e-06,2,0,0,0,0,0,157,0.145,0.400,0,0,7.084e-05,157,0,37116.984,0,0,0,0,0,2,0,0,8.143e-05,0,0,0,0,0,0,345,1,184,86,
284340330,shefalil,0,195,2.961e-05,29,8.722e-04,2,9.670e-06,10,0.002,824843,0.054,0.149,0.005,11,9.489e-04,2103,2.523e-05,16069540,1.077e-04,68614208,0,0,4.206e-05,93,0.003,7,2.464e-04,0.001,3,0.002,4,0.003,6,2,1,3,2,
