Node-Id,Node-Title,inDegreeCentrality-2-Twitter JSON all_filtered,inDegreeCentrality-2-Twitter JSON all_filtered-unscaled,totalDegreeCentrality-2-Twitter JSON all_filtered,totalDegreeCentrality-2-Twitter JSON all_filtered-unscaled,weakComponentMembers-6-Twitter JSON all_filtered,
MakeHungerHistory,MakeHungerHistory,2.349e-06,2,0,2,53,
WWII,WWII,5.873e-05,50,3.602e-06,104,1,
War,War,3.289e-05,28,2.390e-06,69,1,
Memorial,Memorial,2.349e-06,2,0,8,1,
WashingtonDC,WashingtonDC,1.233e-04,105,7.724e-06,223,1,
FridayFeeling,FridayFeeling,1.198e-04,102,6.408e-06,185,1,
StarWars,StarWars,5.051e-05,43,1.247e-06,36,1,
IntellectualProperty,IntellectualProperty,1.292e-05,11,0,15,1,
startups,startups,7.635e-05,65,3.464e-06,100,1,
ThursdayThoughts,ThursdayThoughts,8.105e-05,69,6.062e-06,175,1,
FridayEve,FridayEve,8.223e-06,7,0,17,1,
cryptocurrency,cryptocurrency,1.092e-04,93,4.607e-06,133,1,
realestate,realestate,3.289e-05,28,1.697e-06,49,1,
REFABoston,REFABoston,2.349e-06,2,0,2,1,
probono,probono,4.699e-06,4,0,2,1,
KimXi,KimXi,0,1,0,0,54,
founders,founders,9.397e-06,8,0,8,1,
entrepreneurs,entrepreneurs,9.397e-06,8,0,13,1,
NeverAgain,NeverAgain,9.221e-04,785,4.728e-05,1365,1,
homeless,homeless,2.114e-05,18,2.494e-06,72,1,
nbc4ny,nbc4ny,1.527e-05,13,0,19,1,
BetterYourselfIn3Words,BetterYourselfIn3Words,3.524e-06,3,0,0,55,
research,research,2.232e-05,19,3.810e-06,110,1,
gunviolence,gunviolence,3.242e-04,276,2.989e-05,863,1,
firearms,firearms,9.397e-06,8,0,20,1,
census2020,census2020,6.108e-05,52,0,34,1,
AL03,AL03,3.524e-06,3,0,0,56,
NH01,NH01,3.054e-05,26,2.113e-06,61,1,
priorities,priorities,1.175e-05,10,0,0,57,
AUSAGlobal,AUSAGlobal,1.139e-04,97,0,8,1,
Chupacabras,Chupacabras,2.349e-06,2,0,0,58,
ELLs,ELLs,4.699e-06,4,0,5,1,
ellchat,ellchat,9.397e-06,8,0,9,1,
ELL,ELL,4.699e-06,4,0,11,1,
methane,methane,3.994e-05,34,1.455e-06,42,1,
oilandgas,oilandgas,1.022e-04,87,7.413e-06,214,1,
Commute,Commute,7.048e-06,6,0,20,1,
efficiency,efficiency,8.223e-06,7,0,21,1,
Climate,Climate,2.807e-04,239,9.699e-06,280,1,
Vogtle,Vogtle,2.819e-05,24,0,14,1,
Iam1in10,Iam1in10,0,1,0,1,59,
EndometriosisAwarenessMonth,EndometriosisAwarenessMonth,0,1,0,1,59,
CriticalUpdate,CriticalUpdate,3.524e-06,3,0,5,1,
podcast,podcast,1.656e-04,141,3.845e-06,111,1,
FedWomenInTech,FedWomenInTech,0,1,0,2,1,
FedTechWomen,FedTechWomen,3.524e-06,3,0,4,1,
BadAssIT,BadAssIT,0,1,0,2,1,
FedIT,FedIT,2.114e-05,18,0,33,1,
emergingtech,emergingtech,2.349e-06,2,0,4,1,
womeninit,womeninit,0,1,0,1,1,
RelationshipsMatter,RelationshipsMatter,4.699e-06,4,0,0,60,
nextgenradio,nextgenradio,4.699e-06,4,0,4,1,
mediadiversity,mediadiversity,4.346e-05,37,1.455e-06,42,1,
podcastersofcolor,podcastersofcolor,2.349e-06,2,0,4,1,
growthmindset,growthmindset,2.349e-06,2,0,0,61,
Emissions,Emissions,2.584e-05,22,3.014e-06,87,1,
AirPollution,AirPollution,9.163e-05,78,5.369e-06,155,1,
Oversight,Oversight,7.048e-06,6,0,24,1,
GovSpending,GovSpending,4.699e-06,4,0,18,1,
EPA,EPA,3.524e-04,300,1.524e-05,440,1,
ozone,ozone,3.759e-05,32,2.182e-06,63,1,
Foxconn,Foxconn,1.175e-05,10,0,10,1,
Wisconsin,Wisconsin,2.467e-05,21,1.628e-06,47,1,
opengov,opengov,4.229e-05,36,2.078e-06,60,1,
ExxonMobil,ExxonMobil,7.048e-06,6,0,14,1,
Bakken,Bakken,7.048e-06,6,0,21,1,
pipeline,pipeline,6.461e-05,55,3.256e-06,94,1,
StateofAmerica,StateofAmerica,1.292e-05,11,0,0,62,
USvsATT,USvsATT,2.349e-05,20,0,0,63,
CNN,CNN,1.903e-04,162,6.304e-06,182,1,
ISIS,ISIS,2.373e-04,202,1.160e-05,335,1,
MustacheMarch,MustacheMarch,0,1,0,0,64,
ChagSameach,ChagSameach,1.292e-05,11,0,17,1,
PesachSameach,PesachSameach,0,1,0,2,1,
GoodFriday,GoodFriday,5.286e-05,45,1.767e-06,51,1,
NCGA,NCGA,2.937e-05,25,1.489e-06,43,1,
neurodivergent,neurodivergent,2.349e-06,2,0,4,65,
neurodiversity,neurodiversity,3.524e-06,3,0,4,65,
inclusionmatters,inclusionmatters,2.349e-06,2,0,4,65,
NY21,NY21,1.057e-05,9,0,0,66,
TheCeilingIsTheRoof,TheCeilingIsTheRoof,2.349e-06,2,0,0,67,
DbacksOpeningDay,DbacksOpeningDay,2.349e-06,2,0,0,68,
DeepState,DeepState,2.702e-05,23,0,29,1,
actuallyautistic,actuallyautistic,1.175e-05,10,0,1,69,
autism,autism,1.997e-05,17,0,19,1,
FaithfulMeToo,FaithfulMeToo,0,1,0,0,70,
avgeek,avgeek,8.810e-05,75,3.395e-06,98,1,
BASEBALL,BASEBALL,1.879e-05,16,0,24,1,
America,America,5.521e-05,47,3.672e-06,106,1,
WannaCry,WannaCry,0,1,0,0,71,
TenPlagues,TenPlagues,0,1,0,0,72,
SpecialReport,SpecialReport,1.821e-04,155,0,27,1,
FashionFriday,FashionFriday,2.349e-06,2,0,0,73,
Easter,Easter,4.111e-05,35,2.736e-06,79,1,
StarTrek,StarTrek,1.527e-05,13,0,18,1,
UPDATE,UPDATE,2.643e-04,225,2.633e-06,76,1,
sealevelrise,sealevelrise,2.937e-05,25,0,33,1,
NPS,NPS,1.645e-05,14,0,23,1,
donations,donations,3.524e-06,3,0,3,1,
CleanPowerPlan,CleanPowerPlan,4.581e-05,39,0,16,1,
fracking,fracking,1.527e-05,13,0,13,1,
DAPL,DAPL,5.873e-06,5,0,2,1,
tbt,tbt,2.420e-04,206,4.953e-06,143,1,
Falcon9,Falcon9,1.175e-05,10,0,14,1,
MedalofHonor,MedalofHonor,1.175e-05,10,0,20,1,
UK,UK,2.925e-04,249,2.286e-05,660,1,
Candidates2018,Candidates2018,2.349e-06,2,0,0,74,
JAWSFellows,JAWSFellows,2.349e-06,2,0,0,75,
CAschools,CAschools,7.048e-06,6,0,14,1,
edchat,edchat,1.139e-04,97,7.932e-06,229,1,
DelTerra,DelTerra,4.699e-06,4,0,8,1,
supportlocaljournalism,supportlocaljournalism,1.410e-05,12,0,8,1,
climatechange,climatechange,3.066e-04,261,1.309e-05,378,1,
Climatewire,Climatewire,4.699e-06,4,0,0,76,
Bangladesh,Bangladesh,4.816e-05,41,2.494e-06,72,1,
