"khennessey","12654802","Hennessey, Kathleen","Associated Press","White House Reporter ","F","White","5449","946","7620","Thu Jan 24 20:08:20 +0000 2008","True","False"
"tomokohosaka","15035816","Hosaka, Tomoko","Associated Press","Economy Reporter","F","Asian","15218","3015","9282","Sat Jun 07 04:52:02 +0000 2008","True","False"
"mcjalonick","28414093","Jalonick, Mary Clare","Associated Press","Congress & Food Policy Reporter","F","White","4634","1863","1854","Thu Apr 02 20:35:34 +0000 2009","False","False"
"aplauriekellman","96781334","Kellman Blazar, Laurie","Associated Press","Political Reporter ","F","White","1699","4998","3197","Mon Dec 14 15:31:00 +0000 2009","False","False"
"jckerr9","80393250","Kerr, Jennifer","Associated Press","HUD Reporter","F","White","386","174","9","Tue Oct 06 20:20:38 +0000 2009","False","False"
"llerer","12670512","Lerer, Lisa","Associated Press","National Politics Reporter","F","White","13365","1248","6856","Fri Jan 25 04:31:18 +0000 2008","True","False"
"ap_joan_lowy","16636428","Lowy, Joan","Associated Press","Transportation Reporter","F","White","3671","501","5663","Tue Oct 07 20:30:09 +0000 2008","True","False"
"lneergaard","431835561","Neergaard, Lauran","Associated Press","Medical Writer","F","Unsure","169","5","0","Thu Dec 08 18:56:59 +0000 2011","False","False"
"jpacedc","28181835","Pace, Julie","Associated Press","White House Correspondent","F","White","40407","568","6678","Wed Apr 01 20:05:09 +0000 2009","True","False"
"debriechmann","349686308","Riechmann-Kepler, Debra","Associated Press","National Security Reporter","F","White","426","480","8","Sat Aug 06 14:35:50 +0000 2011","False","False"
"sonyagal","20163751","Ross, Sonya","Associated Press","Race & Ethnicity Editor","F","Black","1174","749","4011","Thu Feb 05 16:54:55 +0000 2009","False","False"
"michelesalcedo","22695254","Salcedo, Michele","Associated Press","Desk Editor","F","White","2053","1849","4629","Tue Mar 03 22:54:25 +0000 2009","True","False"
"esullivanap","19125732","Sullivan, Eileen","Associated Press","Reporter","F","White","2776","575","345","Sat Jan 17 22:07:13 +0000 2009","True","False"
"dsupervilleap","122735017","Superville, Darlene","Associated Press","White House Reporter","F","Black","7067","1055","12205","Sat Mar 13 18:24:21 +0000 2010","True","False"
"ericawerner","33653195","Werner, Erica","Associated Press","Congressional Correspondent","F","White","10762","631","3773","Mon Apr 20 20:36:14 +0000 2009","True","False"
"trishwbelli","172705060","Wilson, Trish","Associated Press","International Investigations Editor","F","White","919","760","1877","Fri Jul 30 11:25:04 +0000 2010","False","False"
"hopeyen1","200709323","Yen, Hope","Associated Press","National Reporter","F","Asian","698","233","591","Sun Oct 10 01:21:04 +0000 2010","True","False"
"luisalonsolugo","62639813","Alonso, Luis","Associated Press","Reporter, AP Noticias","M","HIspanic","12007","11156","3409","Mon Aug 03 22:27:35 +0000 2009","True","False"
"mattbarakat","297046834","Barakat, Matthew","Associated Press","Northern Virginia Correspondent","M","Unsure","749","349","611","Wed May 11 20:55:24 +0000 2011","True","False"
"mbieseck","37687262","Biesecker, Michael","Associated Press","Environment, Energy, & Investigative Reporter","M","White","3072","1665","2720","Mon May 04 15:49:07 +0000 2009","True","False"
"joshboak","267941781","Boak, Josh","Associated Press","Economics Writer","M","White","1779","758","6677","Thu Mar 17 21:15:11 +0000 2011","False","False"
"borenbears","39800314","Borenstein, Seth","Associated Press","Science Writer","M","White","10654","1607","5560","Wed May 13 17:39:21 +0000 2009","True","False"
"robertburnsap","49105997","Burns, Robert","Associated Press","National Security Reporter","M","White","11754","1132","2641","Sat Jun 20 20:12:07 +0000 2009","True","False"
"matthewdalywdc","31464192","Daly, Matthew","Associated Press","Congressional Reporter","M","White","8969","3731","6846","Wed Apr 15 17:37:30 +0000 2009","True","False"
"kendilaniannbc","325001316","Dilanian, Ken","Associated Press","Intelligence & National Security Reporter","M","Armenian","31769","1693","12123","Mon Jun 27 15:38:01 +0000 2011","True","False"
"jpdrinkard","253761367","Drinkard, Jim","Associated Press","Editor","M","White","408","148","426","Thu Feb 17 22:36:13 +0000 2011","False","False"
"asfram","17813820","Fram, Alan","Associated Press","Congressional Reporter","M","White","782","389","62","Tue Dec 02 18:11:52 +0000 2008","False","False"
"apkfreking","257091348","Freking, Kevin","Associated Press","Capitol Hill Reporter","M","White","857","700","531","Thu Feb 24 18:19:16 +0000 2011","False","False"
"jackgillum","16713948","Gillum, Jack","Associated Press","Washington Investigative Reporter","M","Unsure","5438","937","9662","Mon Oct 13 00:21:16 +0000 2008","True","False"
"kguggenheim","244148756","Guggenheim, Ken","Associated Press","News Editor, Washington","M","White","896","354","385","Fri Jan 28 16:37:42 +0000 2011","True","False"
"jessejholland","16439882","Holland, Jesse","Associated Press","Race & Ethnicity Writer","M","Black","2271","992","811","Wed Sep 24 19:48:10 +0000 2008","False","False"
"jeffhorwitz","317225299","Horwitz, Jeffrey","Associated Press","Investigative Reporter","M","White","2071","173","213","Tue Jun 14 16:30:29 +0000 2011","False","False"
"bklapperap","154233179","Klapper, Bradley","Associated Press","Acting National Security Editor","M","White","3273","389","1529","Thu Jun 10 18:32:21 +0000 2010","True","False"
"rplardner","552204936","Lardner, Richard","Associated Press","Reporter","M","White","577","316","711","Thu Apr 12 19:51:51 +0000 2012","False","False"
"joshledermanap","23911915","Lederman, Josh","Associated Press","Foreign Policy & National Security Reporter","M","White","22020","2737","28031","Thu Mar 12 06:26:39 +0000 2009","True","False"
"wjlester","28913831","Lester, William","Associated Press","Washington Editor","M","White","2267","2491","20379","Sun Apr 05 01:34:25 +0000 2009","True","False"
"michelleminkoff","15817979","Minkoff, Michelle","Associated Press","Data Journalist","M","White","5352","3975","7932","Tue Aug 12 03:16:45 +0000 2008","True","False"
"apbennuckols","67325576","Nuckols, Ben","Associated Press","D.C. Government & Poltiics Reporter","M","White","6664","1999","7103","Thu Aug 20 14:17:42 +0000 2009","True","False"
"stephenatap","49729058","Ohlemacher, Stephen","Associated Press","Congress Reporter","M","White","2617","703","3207","Mon Jun 22 19:09:41 +0000 2009","True","False"
"mattpenn_99","143745416","Pennington, Matthew","Associated Press","Reporter on US-Asian Affairs ","M","White","853","379","787","Fri May 14 08:33:16 +0000 2010","False","False"
"sppeoples","87498687","Peoples, Steve","Associated Press","National Politics Reporter","M","White","12494","2947","7070","Wed Nov 04 18:25:48 +0000 2009","True","False"
"chrisrugaber","225163993","Rugaber, Chris","Associated Press","Employment & Economy Reporter","M","White","3252","2018","5583","Fri Dec 10 21:31:12 +0000 2010","True","False"
"davidthornhill","28360658","Scott, David","Associated Press","U.S. Political Editor","M","White","1102","307","2569","Thu Apr 02 15:46:13 +0000 2009","True","False"
"shermancourt","31450658","Sherman, Mark","Associated Press","Reporter","M","White","5254","176","1007","Wed Apr 15 16:42:06 +0000 2009","True","False"
"apandrewtaylor","245412130","Taylor, Andrew","Associated Press","Congress Reporter","M","White","3921","992","2710","Mon Jan 31 16:55:46 +0000 2011","False","False"
"kthomasdc","15463486","Thomas, Ken","Associated Press","White House Reporter","M","White","19660","1992","26406","Thu Jul 17 03:16:45 +0000 2008","True","False"
"etuckerap","145313067","Tucker, Eric","Associated Press","Justice Department Reporter","M","White","4342","1652","6411","Tue May 18 17:13:39 +0000 2010","False","False"
"kevineys","61863624","Vineys, Kevin","Associated Press","Multimedia Reporter","M","White","421","1760","134","Fri Jul 31 20:13:40 +0000 2009","False","False"
"paulwisemanap","1099479379","Wiseman, Paul","Associated Press","Economy Reporter","M","White","1310","583","832","Thu Jan 17 22:52:13 +0000 2013","False","False"
"brettzongker","20217658","Zongker, Brett","Associated Press","","M","White","3945","1452","13223","Fri Feb 06 04:54:06 +0000 2009","True","False"
"ajconwashington","89460898","Hallerman, Tamar","Atlanta Journal-Consitution","Washington Correspondent","F","White","4850","1087","19662","Thu Nov 12 14:47:15 +0000 2009","True","False"
"maria_e_recio","456994513","Recio, Maria","Austin American-Statesman","Political Reporter","F","White","1037","518","36922","Fri Jan 06 22:22:40 +0000 2012","False","False"
"axiosnick","329809276","Johnston, Nicholas","Axios","Editor","M","White","3278","817","3898","Tue Jul 05 17:11:54 +0000 2011","False","False"
"davidnather","340997626","Nather, David","Axios","Healthcare Editor","M","White","7183","1093","5205","Sat Jul 23 16:54:54 +0000 2011","True","False"
"sunjeffbarker","61222745","Barker, Jeffrey","Baltimore Sun","Sports Business Reporter","M","White","5779","2629","12328","Wed Jul 29 15:38:42 +0000 2009","True","False"
"iduncan","10877082","Duncan, Ian","Baltimore Sun","Maryland General Assembly Reporter","M","White","5152","1080","11879","Wed Dec 05 17:32:37 +0000 2007","True","False"
"jfritze","15973881","Fritze, John","Baltimore Sun","Washington Correspondent","M","White","3978","1141","7031","Sun Aug 24 22:56:20 +0000 2008","True","False"
"liz_crampton","269080996","Crampton, Liz","Bloomberg BNA","Antitrust & Regulation Reporter","F","White","1018","1168","1956","Sun Mar 20 02:16:05 +0000 2011","False","False"
"fawnjohnson","15481070","Johnson, Fawn","Bloomberg BNA","Managing Editor","F","White","3762","762","3927","Fri Jul 18 14:02:51 +0000 2008","False","False"
"briandabbs","93082722","Dabbs, Brian","Bloomberg BNA","Energy Reporter","M","White","420","398","1821","Sat Nov 28 00:32:04 +0000 2009","False","False"
"dalykyle","248088312","Daly, Kyle","Bloomberg BNA","Senior Reporter, Tech & Telecom Policy ","M","White","1073","1078","3974","Sun Feb 06 06:33:04 +0000 2011","True","False"
"gregrobertsdc","2500211137","Roberts, Gregory","Bloomberg BNA","Fintech Reporter","M","White","460","15","307","Sat May 17 00:17:59 +0000 2014","True","False"
"arielnerbovig","619979654","Nerbovig, Ariel","Bloomberg Government","Legislative Data Analyst","F","White","1","186","1","Wed Jun 27 13:11:04 +0000 2012","False","True"
"stacyomara","42706541","O’Mara, Stacy","Bloomberg Government","Congressional Analyst","F","White","196","441","397","Tue May 26 20:06:10 +0000 2009","False","False"
"dparn22","17138140","Parnass, Danielle","Bloomberg Government","Analyst","F","White","283","458","189","Mon Nov 03 19:49:34 +0000 2008","False","False"
"katherinebscott","3273220608","Scott, Katherine","Bloomberg Government","Legislative Data Analyst","F","White","1640","1211","8041","Thu Jul 09 20:19:52 +0000 2015","False","False"
"kayrwebb","594171971","Webb, Kayla","Bloomberg Government","Data Analyst","F","Black","86","192","409","Wed May 30 00:53:30 +0000 2012","False","False"
